stage,ep,reward,success,steps,total_steps,critic_loss,actor_loss
4,698,73.15838795190211,1,528,800172,0.798435983784271,21.184182251944687
4,699,-93.20042166113853,2,123,800295,0.8339194934057995,21.33496686113559
4,700,110.06257582828403,1,319,800614,0.8091866718751136,21.15161565403953
4,701,-218.4921117424965,2,358,800972,0.7517395787898389,20.928723931978535
4,702,6.1715140184387565,1,57,801029,0.7253432927424448,20.642994027388724
4,703,-243.3091770336032,2,651,801680,0.810436048769548,21.231811413567186
4,704,-10.501095674058888,1,236,801916,0.8220611621262663,20.88390588760376
4,705,-362.8892621435225,2,1645,803561,0.8189628010462845,21.08361825334265
4,706,15.027995194046525,1,318,803879,0.7284611170209428,20.938496292762036
4,707,-74.26772063970566,2,43,803922,1.1148355693318124,21.163834172625876
4,708,16.049589114263654,1,281,804203,0.8054746560142558,21.21268159723791
4,709,81.72731113285408,1,451,804654,0.7958523927136694,21.282873781715953
4,710,29.103409492992796,1,531,805185,0.8148075297839673,21.0682232007244
4,711,-86.13511469960213,2,145,805330,0.8314915422735543,20.65852596677583
4,712,83.24003746104427,1,261,805591,0.7470232361349566,20.973359718176596
4,713,-41.61521303653717,2,60,805651,0.6531286383668582,21.233007876078286
4,714,98.53218591213226,1,173,805824,0.8378439388867748,20.968205451965332
4,715,-273.4523716419935,2,930,806754,0.8061361688119109,20.96694799648818
4,716,-51.254760056734085,2,180,806934,0.8499030651317703,20.998125733269585
4,717,-73.63354459032416,2,191,807125,0.7863015342133207,20.838435792174014
4,718,113.23304759075108,1,344,807469,0.8277963358302449,20.89940127938293
4,719,24.376463937805966,1,520,807989,0.8170089393281019,20.96699435710907
4,720,-2.8600442360620946,2,347,808336,0.7897943808812573,20.786344764555565
4,721,-388.8926679342985,2,1086,809422,0.8048819040615475,20.810952184828167
4,722,97.78141672816128,1,304,809726,0.8342704170040394,20.884983552129643
4,723,30.210901458238368,1,564,810290,0.7754970523693883,20.806269021744423
4,724,-39.53473671129905,2,329,810619,0.8188832809859858,20.73201112544283
4,725,101.27318748887046,1,327,810946,0.7746845338869532,20.843786370863608
4,726,-35.750917583703995,2,42,810988,0.9014617786521003,20.365316527230398
4,727,102.28220510482788,1,268,811256,0.8045430168954294,20.803602318265543
4,728,-273.6597507894039,3,642,811898,0.8159911065736664,20.75228437827755
4,729,68.41345319151878,1,125,812023,0.7464617025852204,20.63575860595703
4,730,39.21989351697266,1,446,812469,0.8266432413605831,20.86501875693488
4,731,75.47544455854222,1,418,812887,0.7878734062305478,20.77425298051971
4,732,-165.95425087213516,3,321,813208,0.7996783907354064,20.622896815386145
